Item Description,Quantity,Unit,Unit Price,Extension
CL2 ASPH BASE 0.75D PG64-22,1096,TON,90.2,98859.2
CL2 ASPH BASE 0.75D PG64-22,1096,TON,74,81104
CL2 ASPH BASE 0.75D PG64-22,1096,TON,74,81104
CL2 ASPH BASE 1.00D PG64-22,16726,TON,53.83,900360.58
CL2 ASPH BASE 1.00D PG64-22,16726,TON,56.25,940837.5
CL3 ASPH BASE 1.00D PG64-22,335,TON,60.9,20401.5
CL3 ASPH BASE 1.00D PG64-22,335,TON,60,20100
CL2 ASPH SURF 0.50D PG64-22 (REVISED:  5-9-11),5411,TON,62.17,336401.87
CL2 ASPH SURF 0.50D PG64-22 (REVISED:  5-9-11),5411,TON,63.5,343598.5
CL3 ASPH SURF 0.50A PG64-22 (REVISED:  5-9-11),22681,TON,76.71,1739859.51
CL3 ASPH SURF 0.50A PG64-22 (REVISED:  5-9-11),22681,TON,60.8,1379004.8
CL4 ASPH SURF 0.50A PG64-22,1697.2,TON,83.17,141156.12
CL4 ASPH SURF 0.50A PG64-22,1697.2,TON,72,122198.4
CL2 ASPH BASE 1.00D PG64-22,110,TON,85.15,9366.5
CL3 ASPH SURF 0.38A PG64-22,653,TON,55.5,36241.5
CL3 ASPH SURF 0.38A PG64-22,653,TON,63,41139
CL3 ASPH SURF 0.38A PG64-22,653,TON,71,46363
CL3 ASPH SURF 0.38A PG64-22,653,TON,80,52240
CL3 ASPH SURF 0.38A PG64-22,653,TON,70,45710
CL2 ASPH BASE 1.00D PG64-22,65,TON,93.5,6077.5
CL2 ASPH BASE 1.00D PG64-22,65,TON,85.5,5557.5
CL2 ASPH BASE 1.00D PG64-22,29753,TON,60,1785180
CL2 ASPH BASE 1.00D PG64-22,29753,TON,72.5,2157092.5
CL2 ASPH BASE 1.00D PG64-22,29753,TON,72.5,2157092.5
CL2 ASPH BASE 0.75D PG64-22,6027,TON,60,361620
CL2 ASPH BASE 0.75D PG64-22,6027,TON,72.5,436957.5
CL2 ASPH BASE 0.75D PG64-22,6027,TON,72.5,436957.5
CL2 ASPH SURF 0.50D PG64-22,989,TON,70,69230
CL2 ASPH SURF 0.50D PG64-22,989,TON,75.5,74669.5
CL2 ASPH SURF 0.50D PG64-22,989,TON,75.5,74669.5
CL2 ASPH SURF 0.5B PG64-22,5692,TON,70,398440
CL2 ASPH SURF 0.5B PG64-22,5692,TON,86,489512
CL2 ASPH SURF 0.5B PG64-22,5692,TON,86,489512
CL3 ASPH SURF 0.38B PG64-22,1620,TON,57,92340
CL3 ASPH SURF 0.38B PG64-22,1620,TON,57.5,93150
CL3 ASPH SURF 0.38B PG64-22,1620,TON,65.5,106110
CL4 ASPH SURF 0.38A PG76-22,1155,TON,75.8,87549
CL4 ASPH SURF 0.38A PG76-22,1155,TON,68,78540
CL4 ASPH SURF 0.38A PG76-22,1155,TON,65,75075
CL4 ASPH SURF 0.38A PG76-22,1155,TON,82,94710
CL4 ASPH SURF 0.38A PG76-22,1155,TON,74,85470
CL4 ASPH SURF 0.38A PG76-22,1155,TON,80,92400
CL2 ASPH BASE 1.00D PG64-22,6013,TON,63,378819
CL2 ASPH BASE 1.00D PG64-22,6013,TON,63,378819
CL2 ASPH BASE 1.00D PG64-22,6013,TON,63,378819
CL2 ASPH BASE 1.00D PG64-22,6013,TON,64.89,390183.57
CL2 ASPH BASE 1.00D PG64-22,6013,TON,63.95,384531.35
CL2 ASPH SURF 0.38B PG64-22,1282,TON,84,107688
CL2 ASPH SURF 0.38B PG64-22,1282,TON,84,107688
CL2 ASPH SURF 0.38B PG64-22,1282,TON,84,107688
CL2 ASPH SURF 0.38B PG64-22,1282,TON,86.52,110918.64
CL2 ASPH SURF 0.38B PG64-22,1282,TON,85.81,110008.42
CL2 ASPH BASE 1.00D PG64-22,118,TON,70,8260
CL2 ASPH BASE 1.00D PG64-22,118,TON,77,9086
CL2 ASPH BASE 1.00D PG64-22,118,TON,66,7788
CL2 ASPH BASE 1.00D PG64-22,118,TON,120,14160
CL2 ASPH SURF 0.38B PG64-22,139,TON,90,12510
CL2 ASPH SURF 0.38B PG64-22,139,TON,100,13900
CL2 ASPH SURF 0.38B PG64-22,139,TON,68,9452
CL2 ASPH SURF 0.38B PG64-22,139,TON,130,18070
CL3 ASPH BASE 1.00D PG64-22,8,TON,611,4888
CL3 ASPH BASE 1.00D PG64-22,8,TON,262,2096
CL3 ASPH BASE 1.00D PG64-22,8,TON,275,2200
CL3 ASPH SURF 0.38B PG64-22,20,TON,300,6000
CL3 ASPH SURF 0.38B PG64-22,20,TON,162,3240
CL3 ASPH SURF 0.38B PG64-22,20,TON,300,6000
CL2 ASPH BASE 1.00D PG64-22,2504,TON,86.35,216220.4
CL2 ASPH BASE 1.00D PG64-22,2504,TON,86.35,216220.4
CL2 ASPH BASE 1.00D PG64-22,2504,TON,86.35,216220.4
CL3 ASPH BASE 1.00D PG64-22,4763,TON,86.35,411285.05
CL3 ASPH BASE 1.00D PG64-22,4763,TON,86.35,411285.05
CL3 ASPH BASE 1.00D PG64-22,4763,TON,86.35,411285.05
CL3 ASPH SURF 0.38D PG64-22,647,TON,97.85,63308.95
CL3 ASPH SURF 0.38D PG64-22,647,TON,97.85,63308.95
CL3 ASPH SURF 0.38D PG64-22,647,TON,97.85,63308.95
CL3 ASPH BASE 1.00D PG64-22,5156,TON,50.15,258573.4
CL3 ASPH BASE 1.00D PG64-22,5156,TON,50.15,258573.4
CL3 ASPH BASE 1.00D PG64-22,5156,TON,45.5,234598
CL3 ASPH BASE 1.00D PG64-22,5156,TON,46.35,238980.6
CL3 ASPH BASE 1.00D PG64-22,5156,TON,52,268112
CL3 ASPH BASE 1.00D PG64-22,5156,TON,63,324828
CL3 ASPH BASE 1.00D PG64-22,5156,TON,51.35,264760.6
CL3 ASPH BASE 1.00D PG64-22,5156,TON,60,309360
CL3 ASPH SURF 0.38D PG64-22,669,TON,58.69,39263.61
CL3 ASPH SURF 0.38D PG64-22,669,TON,58.69,39263.61
CL3 ASPH SURF 0.38D PG64-22,669,TON,59.5,39805.5
CL3 ASPH SURF 0.38D PG64-22,669,TON,63.76,42655.44
CL3 ASPH SURF 0.38D PG64-22,669,TON,60,40140
CL3 ASPH SURF 0.38D PG64-22,669,TON,85,56865
CL3 ASPH SURF 0.38D PG64-22,669,TON,63,42147
CL3 ASPH SURF 0.38D PG64-22,669,TON,70,46830
CL2 ASPH BASE 1.00D PG64-22,6470,TON,84,543480
CL2 ASPH BASE 1.00D PG64-22,6470,TON,85.95,556096.5
CL2 ASPH BASE 1.00D PG64-22,6470,TON,85.95,556096.5
CL2 ASPH BASE 1.00D PG64-22,6470,TON,85.95,556096.5
CL2 ASPH BASE 1.00D PG64-22,6470,TON,95,614650
CL3 ASPH BASE 1.00D PG64-22,23236,TON,84,1951824
CL3 ASPH BASE 1.00D PG64-22,23236,TON,85.95,1997134.2
CL3 ASPH BASE 1.00D PG64-22,23236,TON,85.95,1997134.2
CL3 ASPH BASE 1.00D PG64-22,23236,TON,85.95,1997134.2
CL3 ASPH BASE 1.00D PG64-22,23236,TON,95,2207420
CL3 ASPH SURF 0.38B PG64-22,3766,TON,95,357770
CL3 ASPH SURF 0.38B PG64-22,3766,TON,96.65,363983.9
CL3 ASPH SURF 0.38B PG64-22,3766,TON,96.65,363983.9
CL3 ASPH SURF 0.38B PG64-22,3766,TON,96.65,363983.9
CL3 ASPH SURF 0.38B PG64-22,3766,TON,107,402962
CL2 ASPH BASE 1.00D PG64-22,829,TON,70,58030
CL2 ASPH BASE 1.00D PG64-22,829,TON,69.76,57831.04
CL2 ASPH BASE 1.00D PG64-22,829,TON,69.76,57831.04
CL2 ASPH BASE 1.00D PG64-22,829,TON,69.76,57831.04
CL2 ASPH BASE 1.00D PG64-22,829,TON,69.76,57831.04
CL3 ASPH BASE 1.50D PG64-22,300,TON,69.8,20940
CL3 ASPH BASE 1.00D PG64-22,480,TON,69.82,33513.6
CL3 ASPH SURF 0.50A PG64-22,360,TON,77.62,27943.2
CL2 ASPH BASE 1.00D PG64-22,50,TON,140,7000
CL3 ASPH SURF 0.38A PG64-22,1880,TON,86.75,163090
CL2 ASPH BASE 1.00D PG64-22,800,TON,68,54400
CL2 ASPH BASE 1.00D PG64-22,800,TON,86.5,69200
CL2 ASPH SURF 0.5B PG64-22 (REVISED:  4-19-11),5595,TON,82.8,463266
CL3 ASPH SURF 0.38B PG64-22,1310,TON,83.1,108861
CL3 ASPH SURF 0.38B PG64-22,4560,TON,75.85,345876
CL3 ASPH SURF 0.38D PG64-22,6700,TON,81,542700
CL2 ASPH SURF 0.38B PG64-22,3255,TON,79.9,260074.5
CL3 ASPH SURF 0.38B PG64-22,5900,TON,56.95,336005
CL3 ASPH SURF 0.38B PG64-22,5900,TON,56.03,330577
CL3 ASPH SURF 0.38B PG64-22,5900,TON,65,383500
CL3 ASPH SURF 0.38B PG64-22,5900,TON,75,442500
CL2 ASPH BASE 0.75D PG64-22,200,TON,55,11000
CL2 ASPH BASE 0.75D PG64-22,200,TON,57.77,11554
CL2 ASPH BASE 0.75D PG64-22,200,TON,145,29000
CL2 ASPH BASE 0.75D PG64-22,200,TON,149.59,29918
CL2 ASPH BASE 0.75D PG64-22,200,TON,146.5,29300
CL2 ASPH BASE 0.75D PG64-22,200,TON,140,28000
CL2 ASPH BASE 0.75D PG64-22,200,TON,147,29400
CL2 ASPH BASE 0.75D PG64-22,200,TON,139.59,27918
CL2 ASPH BASE 0.75D PG64-22,200,TON,0.01,2
CL2 ASPH BASE 0.75D PG64-22,200,TON,20,4000
CL2 ASPH BASE 0.75D PG64-22,200,TON,139.59,27918
CL3 ASPH SURF 0.38B PG76-22,2670,TON,65.47,174804.9
CL3 ASPH SURF 0.38B PG76-22,2670,TON,74.95,200116.5
CL3 ASPH SURF 0.38B PG76-22,2670,TON,77,205590
CL3 ASPH SURF 0.38D PG64-22,5900,TON,71.7,423030
CL2 ASPH BASE 1.00D PG64-22,15227,TON,58.5,890779.5
CL2 ASPH BASE 1.00D PG64-22,15227,TON,58.5,890779.5
CL2 ASPH BASE 1.00D PG64-22,15227,TON,58.5,890779.5
CL2 ASPH BASE 1.00D PG64-22,15227,TON,58.5,890779.5
CL2 ASPH BASE 1.00D PG64-22,15227,TON,58.5,890779.5
CL2 ASPH BASE 1.00D PG64-22,15227,TON,58.5,890779.5
CL2 ASPH BASE 1.00D PG64-22,15227,TON,58.5,890779.5
CL2 ASPH SURF 0.38B PG64-22,1903,TON,79.75,151764.25
CL2 ASPH SURF 0.38B PG64-22,1903,TON,79.75,151764.25
